participant_id	DELV_A	DELV_B	DELV_Status
5002	n/a	n/a	n/a
5003	n/a	n/a	n/a
5004	n/a	n/a	n/a
5005	1	12	Mainstream American English
5006	n/a	n/a	n/a
5007	1	14	Mainstream American English
5008	0	15	Mainstream American English
5009	0	14	Mainstream American English
5010	3	9	Some Variation from MAE
5011	0	15	Mainstream American English
5013	n/a	n/a	n/a
5015	0	14	Mainstream American English
5017	n/a	n/a	n/a
5018	1	13	Mainstream American English
5019	n/a	n/a	n/a
5020	1	13	Mainstream American English
5021	1	14	Mainstream American English
5022	0	15	Mainstream American English
5023	1	14	Mainstream American English
5024	1	13	Mainstream American English
5025	1	14	Mainstream American English
5028	n/a	n/a	n/a
5029	1	12	Mainstream American English
5030	n/a	n/a	n/a
5031	n/a	n/a	n/a
5032	0	15	Mainstream American English
5033	n/a	n/a	n/a
5034	1	14	Mainstream American English
5035	n/a	n/a	n/a
5036	1	13	Mainstream American English
5037	n/a	n/a	n/a
5039	n/a	n/a	n/a
5040	0	14	Mainstream American English
5042	0	14	Mainstream American English
5043	0	13	Mainstream American English
5044	1	13	Mainstream American English
5045	n/a	n/a	n/a
5046	1	13	Mainstream American English
5047	1	13	Mainstream American English
5048	0	15	Mainstream American English
5049	0	15	Mainstream American English
5051	n/a	n/a	n/a
5052	n/a	n/a	n/a
5053	n/a	n/a	n/a
5054	0	15	Mainstream American English
5055	0	15	Mainstream American English
5056	n/a	n/a	n/a
5057	1	12	Mainstream American English
5058	0	15	Mainstream American English
5059	n/a	n/a	n/a
5060	n/a	n/a	n/a
5061	1	13	Mainstream American English
5063	1	13	Mainstream American English
5065	0	15	Mainstream American English
5069	1	13	Mainstream American English
5070	0	15	Mainstream American English
5071	n/a	n/a	n/a
5074	1	14	Mainstream American English
5075	n/a	n/a	n/a
5077	1	12	Mainstream American English
5078	n/a	n/a	n/a
5079	n/a	n/a	n/a
5080	n/a	n/a	n/a
5085	n/a	n/a	n/a
5086	n/a	n/a	n/a
5087	n/a	n/a	n/a
