participant_id	how_children_learn_to_talk_1	how_children_learn_to_talk_2	how_children_learn_to_talk_3	how_children_learn_to_talk_4	how_children_learn_to_talk_5	how_children_learn_to_talk_6	how_children_learn_to_talk_7	how_children_learn_to_talk_8	how_children_learn_to_talk_9	reading_to_children_1	reading_to_children_2	reading_to_children_3	reading_to_children_4	reading_to_children_5	reading_to_children_6	children_learning_math_1	children_learning_math_2	children_learning_math_3	children_learning_math_4	children_learning_math_5	children_starting_school_1	children_starting_school_2	children_starting_school_3	children_starting_school_4	children_starting_school_5	children_starting_school_6	children_watching_television_1	children_watching_television_2	children_watching_television_3
sub-5002	2	1	4	2	1	4	1	3	1	1	4	5	2	2	5	2	2	4	1	5	4	1	4	1	2	2	4	4	2
sub-5003	5	1	4	4	3	5	1	3	1	1	5	5	2	4	5	1	1	4	1	5	5	1	5	1	2	4	3	3	1
sub-5004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5005	2	1	5	2	4	5	1	1	1	1	5	5	5	4	5	1	1	5	1	5	1	1	1	2	5	1	2	4	1
sub-5006	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5007	3	3	2	n/a	2	3	2	3	2	1	4	4	2	2	4	2	2	4	1	4	3	2	3	1	3	2	4	4	3
sub-5008	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5009	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5010	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5011	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5013	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5018	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5019	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5020	1	1	5	4	1	5	1	2	1	1	5	4	2	1	5	1	1	5	1	5	1	1	4	1	5	2	1	2	1
sub-5021	4	1	3	2	3	5	1	2	1	1	3	5	2	3	5	1	3	3	2	5	3	1	3	2	4	1	2	2	2
sub-5022	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5023	1	2	1	3	3	4	2	4	1	2	4	5	4	4	5	5	5	5	1	5	3	2	4	2	1	2	2	3	2
sub-5024	4	3	5	2	1	5	1	4	1	1	3	5	2	4	5	2	1	5	1	5	2	1	2	2	2	2	2	4	1
sub-5025	4	3	5	2	1	5	1	2	1	1	3	5	2	2	5	2	2	5	1	5	2	1	3	1	1	2	1	4	1
sub-5028	4	2	n/a	1	1	5	1	2	1	1	4	5	1	1	5	2	2	5	1	5	3	1	4	2	2	3	4	4	3
