participant_id	CTOPP-2_EL_Raw	CTOPP-2_EL_ScS	CTOPP-2_BW_Raw	CTOPP-2_BW_ScS	CTOPP-2_SM_Raw	CTOPP-2_SM_ScS	CTOPP-2_PI_Raw	CTOPP-2_PI_ScS	CTOPP-2_MD_Raw	CTOPP-2_MD_ScS	CTOPP-2_NR_Raw	CTOPP-2_NR_ScS	CTOPP-2_RD_Raw	CTOPP-2_RD_ScS	CTOPP-2_RL_Raw	CTOPP-2_RL_ScS	CTOPP-2_RC_Raw	CTOPP-2_RC_ScS	CTOPP-2_RO_Raw	CTOPP-2_RO_ScS	CTOPP-2_PhonAwareness_Comp	CTOPP-2_PhonMemory_Comp	CTOPP-2_RapidSymb_Comp	CTOPP-2_RapidNon-Symb_Comp
5002	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5005	32	14	25	11	n/a	n/a	29	12	17	10	12	4	22	7	24	7	n/a	n/a	n/a	n/a	116	82	82	n/a
5006	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5007	16	6	15	5	n/a	n/a	23	7	15	8	15	7	16	10	17	10	n/a	n/a	n/a	n/a	75	85	101	n/a
5008	31	13	24	10	n/a	n/a	29	12	19	12	20	12	14	12	19	9	n/a	n/a	n/a	n/a	112	113	104	n/a
5009	31	13	23	9	n/a	n/a	28	11	19	12	17	9	18	9	21	8	n/a	n/a	n/a	n/a	107	104	92	n/a
5010	14	5	16	5	n/a	n/a	19	5	12	5	9	2	22	7	22	7	n/a	n/a	n/a	n/a	69	61	82	n/a
5011	26	9	25	11	n/a	n/a	13	4	21	14	19	11	19	8	20	8	n/a	n/a	n/a	n/a	88	116	88	n/a
5013	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5015	29	11	21	8	n/a	n/a	25	9	18	11	17	9	17	9	17	10	n/a	n/a	n/a	n/a	96	101	98	n/a
5017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5018	31	13	27	13	n/a	n/a	27	10	17	10	18	10	15	11	15	12	n/a	n/a	n/a	n/a	114	101	110	n/a
5019	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5020	28	10	17	6	n/a	n/a	20	6	18	11	16	8	14	12	14	13	n/a	n/a	n/a	n/a	84	98	116	n/a
5021	25	9	18	6	n/a	n/a	20	6	19	12	17	9	16	10	16	11	n/a	n/a	n/a	n/a	82	104	104	n/a
5022	24	9	21	8	n/a	n/a	24	8	18	11	17	9	16	10	18	9	n/a	n/a	n/a	n/a	90	101	98	n/a
5023	29	11	17	6	n/a	n/a	20	6	17	10	13	5	19	8	25	7	n/a	n/a	n/a	n/a	86	85	85	n/a
5024	19	7	14	4	n/a	n/a	25	9	19	12	8	2	15	11	18	9	n/a	n/a	n/a	n/a	80	82	101	n/a
5025	23	8	26	12	n/a	n/a	25	9	20	13	14	6	14	12	15	12	n/a	n/a	n/a	n/a	98	98	113	n/a
5028	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5029	27	10	25	11	n/a	n/a	30	13	19	12	16	8	15	11	17	10	n/a	n/a	n/a	n/a	110	101	104	n/a
5030	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5031	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5032	23	8	23	9	n/a	n/a	28	11	17	10	18	10	18	9	22	7	n/a	n/a	n/a	n/a	96	101	88	n/a
5033	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5034	31	13	29	15	n/a	n/a	26	9	21	14	20	12	14	12	20	8	n/a	n/a	n/a	n/a	116	119	101	n/a
5035	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5036	26	9	22	8	n/a	n/a	9	3	20	13	14	6	19	8	19	9	n/a	n/a	n/a	n/a	80	98	92	n/a
5037	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5039	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
