participant_id	DELV_A	DELV_B	DELV_Status
5002	2	11	Mainstream American English
5003	4	8	Mainstream American English
5004	0	15	Mainstream American English
5005	1	12	Mainstream American English
5006	0	13	Mainstream American English
5007	3	9	Mainstream American English
5008	1	12	Mainstream American English
5009	0	12	Mainstream American English
5010	0	15	Mainstream American English
5011	n/a	n/a	n/a
5013	2	10	Mainstream American English
5015	0	13	Mainstream American English
5017	0	13	Mainstream American English
5018	n/a	n/a	n/a
5019	0	12	Mainstream American English
5020	0	14	Mainstream American English
5021	n/a	n/a	n/a
5022	1	14	Mainstream American English
5023	0	13	Mainstream American English
5024	5	9	Mainstream American English
5025	2	11	Mainstream American English
5028	1	12	Mainstream American English
5029	2	10	Mainstream American English
5030	3	12	Mainstream American English
5031	0	11	Mainstream American English
5032	2	13	Mainstream American English
5033	n/a	n/a	n/a
5034	3	12	Mainstream American English
5035	4	11	Mainstream American English
5036	1	12	Mainstream American English
5037	3	8	Mainstream American English
5039	7	7	Mainstream American English
5040	2	13	Mainstream American English
5042	n/a	n/a	n/a
5043	2	11	Mainstream American English
5044	2	10	Mainstream American English
5045	1	11	Mainstream American English
5046	2	12	Mainstream American English
5047	6	7	Mainstream American English
5048	1	12	Mainstream American English
5049	0	14	Mainstream American English
5051	0	14	Mainstream American English
5052	7	7	Mainstream American English
5053	0	13	Mainstream American English
5054	1	14	Mainstream American English
5055	0	15	Mainstream American English
5056	n/a	n/a	n/a
5057	2	11	Mainstream American English
5058	0	14	Mainstream American English
5059	2	9	Mainstream American English
5060	0	14	Mainstream American English
5061	0	13	Mainstream American English
5063	1	14	Mainstream American English
5065	0	13	Mainstream American English
5069	0	14	Mainstream American English
5070	5	9	Mainstream American English
5071	3	12	Mainstream American English
5074	4	10	Mainstream American English
5075	0	15	Mainstream American English
5077	1	13	Mainstream American English
5078	1	11	Mainstream American English
5079	0	13	Mainstream American English
5080	4	7	Mainstream American English
5085	3	10	Mainstream American English
5086	2	12	Mainstream American English
5087	1	12	Mainstream American English
